label,goes_class,fl_lon,fl_lat,rest_fl,rest_lon,rest_lat
2019/01/01/HMI.m2019.01.01_00.00.00.jpg,NF,unk,unk,,,
2019/01/01/HMI.m2019.01.01_01.00.00.jpg,NF,unk,unk,,,
2019/01/01/HMI.m2019.01.01_02.00.00.jpg,B2.8,21,9,,,
2019/01/01/HMI.m2019.01.01_03.00.00.jpg,B2.8,21,9,,,
2019/01/01/HMI.m2019.01.01_04.00.00.jpg,B2.8,21,9,,,
2019/01/01/HMI.m2019.01.01_05.00.00.jpg,B2.8,21,9,,,
2019/01/01/HMI.m2019.01.01_06.00.00.jpg,B2.8,21,9,['A4.1'],[21],[10]
2019/01/01/HMI.m2019.01.01_07.00.00.jpg,B2.8,21,9,"['A5.7', 'A4.1']","[23, 21]","[9, 10]"
2019/01/01/HMI.m2019.01.01_08.00.00.jpg,B2.8,21,9,"['A5.7', 'A4.1']","[23, 21]","[9, 10]"
2019/01/01/HMI.m2019.01.01_09.00.00.jpg,B2.8,21,9,"['A5.7', 'A4.1']","[23, 21]","[9, 10]"
2019/01/01/HMI.m2019.01.01_10.00.00.jpg,B2.8,21,9,"['A5.7', 'A4.1']","[23, 21]","[9, 10]"
2019/01/01/HMI.m2019.01.01_11.00.00.jpg,B2.8,21,9,"['A5.7', 'A4.1']","[23, 21]","[9, 10]"
2019/01/01/HMI.m2019.01.01_12.00.00.jpg,B2.8,21,9,"['A5.7', 'A4.1']","[23, 21]","[9, 10]"
2019/01/01/HMI.m2019.01.01_13.00.00.jpg,B2.8,21,9,"['A5.7', 'A4.1']","[23, 21]","[9, 10]"
2019/01/01/HMI.m2019.01.01_14.00.00.jpg,B2.8,21,9,"['A5.7', 'A4.1']","[23, 21]","[9, 10]"
2019/01/01/HMI.m2019.01.01_15.00.00.jpg,B2.8,21,9,"['A5.7', 'A4.1']","[23, 21]","[9, 10]"
2019/01/01/HMI.m2019.01.01_16.00.00.jpg,B2.8,21,9,"['A6.5', 'A5.7', 'A4.1']","[14, 23, 21]","[9, 9, 10]"
2019/01/01/HMI.m2019.01.01_17.00.00.jpg,B2.8,21,9,"['A6.5', 'A6.4', 'A6.3', 'A5.7', 'A4.1']","[14, 28, 29, 23, 21]","[9, 9, 9, 9, 10]"
2019/01/01/HMI.m2019.01.01_18.00.00.jpg,B2.8,21,9,"['A6.5', 'A6.4', 'A6.3', 'A5.7', 'A4.1']","[14, 28, 29, 23, 21]","[9, 9, 9, 9, 10]"
2019/01/01/HMI.m2019.01.01_19.00.00.jpg,B2.8,21,9,"['B1.2', 'A6.5', 'A6.4', 'A6.3', 'A5.7', 'A4.1']","[30, 14, 28, 29, 23, 21]","[10, 9, 9, 9, 9, 10]"
