label,goes_class,fl_location,flare_start
2010/12/06/HMI.m2010.12.06_07.00.00.jpg,NF,unk,unk
2010/12/06/HMI.m2010.12.06_08.00.00.jpg,B1.9,"(-38.54793081632674, 16)",2010-12-07 07:19:00
2010/12/06/HMI.m2010.12.06_09.00.00.jpg,B1.9,"(-38.54793081632674, 16)",2010-12-07 07:19:00
2010/12/06/HMI.m2010.12.06_10.00.00.jpg,B1.9,"(-38.54793081632674, 16)",2010-12-07 07:19:00
2010/12/06/HMI.m2010.12.06_11.00.00.jpg,B1.9,"(-38.54793081632674, 16)",2010-12-07 07:19:00
2010/12/06/HMI.m2010.12.06_12.00.00.jpg,B1.9,"(-38.54793081632674, 16)",2010-12-07 07:19:00
2010/12/06/HMI.m2010.12.06_13.00.00.jpg,B1.9,"(-38.54793081632674, 16)",2010-12-07 07:19:00
2010/12/06/HMI.m2010.12.06_14.00.00.jpg,B1.9,"(-38.54793081632674, 16)",2010-12-07 07:19:00
2010/12/06/HMI.m2010.12.06_15.00.00.jpg,B1.9,"(-38.54793081632674, 16)",2010-12-07 07:19:00
2010/12/06/HMI.m2010.12.06_16.00.00.jpg,B1.9,"(-38.54793081632674, 16)",2010-12-07 07:19:00
2010/12/06/HMI.m2010.12.06_17.00.00.jpg,B1.9,"(-38.54793081632674, 16)",2010-12-07 07:19:00
2010/12/06/HMI.m2010.12.06_18.00.00.jpg,B1.9,"(-38.54793081632674, 16)",2010-12-07 07:19:00
2010/12/06/HMI.m2010.12.06_19.00.00.jpg,B1.9,"(-38.54793081632674, 16)",2010-12-07 07:19:00
2010/12/06/HMI.m2010.12.06_20.00.00.jpg,B1.9,"(-38.54793081632674, 16)",2010-12-07 07:19:00
2010/12/06/HMI.m2010.12.06_21.00.00.jpg,B1.9,"(-38.54793081632674, 16)",2010-12-07 07:19:00
2010/12/06/HMI.m2010.12.06_22.00.00.jpg,B1.9,"(-38.54793081632674, 16)",2010-12-07 07:19:00
2010/12/06/HMI.m2010.12.06_23.00.00.jpg,B1.9,"(-38.54793081632674, 16)",2010-12-07 07:19:00
2010/12/07/HMI.m2010.12.07_00.00.00.jpg,B1.9,"(-38.54793081632674, 16)",2010-12-07 07:19:00
2010/12/07/HMI.m2010.12.07_01.00.00.jpg,B1.9,"(-38.54793081632674, 16)",2010-12-07 07:19:00
2010/12/07/HMI.m2010.12.07_02.00.00.jpg,B1.9,"(-38.54793081632674, 16)",2010-12-07 07:19:00
2010/12/07/HMI.m2010.12.07_03.00.00.jpg,B1.9,"(-38.54793081632674, 16)",2010-12-07 07:19:00
2010/12/07/HMI.m2010.12.07_04.00.00.jpg,B1.9,"(-38.54793081632674, 16)",2010-12-07 07:19:00
2010/12/07/HMI.m2010.12.07_05.00.00.jpg,B1.9,"(-38.54793081632674, 16)",2010-12-07 07:19:00
