global_epoch,training_stage,stage_epoch,train_accuracy,train_precision,train_recall,train_f1,train_tss,train_hss,train_tp,train_tn,train_fp,train_fn,train_loss,train_classification_loss,train_ewc_loss,holdout_accuracy,holdout_precision,holdout_recall,holdout_f1,holdout_tss,holdout_hss,holdout_tp,holdout_tn,holdout_fp,holdout_fn,holdout_loss,learning_rate,epoch_seconds
1,1,1,0.5742293867770395,0.5965707807850361,0.4585557128853066,0.5185367656115284,0.14845877355407905,0.14845877355407908,4210,6334,2847,4971,0.6252997980607568,0.6252997980607568,0.0,0.8775110240078393,0.0,0.0,0.0,0.0,0.0,0,1791,0,250,0.618580891477425,0.001,23.732354282401502
2,1,2,0.6014050756998148,0.9869246861924686,0.20553316632175145,0.3402145497160371,0.20281015139962968,0.20281015139962966,1887,9156,25,7294,0.6128730325121828,0.6128730325121828,0.0,0.8775110240078393,0.0,0.0,0.0,0.0,0.0,0,1791,0,250,0.6070982607365355,0.001,23.144488407298923
3,1,3,0.6155102929964056,0.9173553719008265,0.25389391133863415,0.39771370073366313,0.23102058599281125,0.23102058599281125,2331,8971,210,6850,0.608458116376287,0.608458116376287,0.0,0.8775110240078393,0.0,0.0,0.0,0.0,0.0,0,1791,0,250,0.5731239748433312,0.001,23.078820354305208
4,1,4,0.665831608757216,0.8003550996251726,0.44189086156192137,0.5694035087719298,0.33166321751443195,0.33166321751443195,4057,8169,1012,5124,0.5951043512356098,0.5951043512356098,0.0,0.8926996570308672,0.6422018348623854,0.28,0.3899721448467967,0.2582244556113903,0.34095181644866923,70,1752,39,180,0.5232309368181205,0.001,23.12484146654606
5,1,5,0.6928983770831064,0.7721266133988937,0.5473259993464764,0.6405761998852699,0.38579675416621284,0.38579675416621284,5025,7698,1483,4156,0.5670918951482765,0.5670918951482765,0.0,0.8691817736403724,0.47837150127226463,0.752,0.5847589424572317,0.6375388051367951,0.5116362850995149,188,1586,205,62,0.4585722483355061,0.001,23.14399278257042
6,1,6,0.7151181788476201,0.7739251040221914,0.6077769306175798,0.680861448355805,0.43023635769524016,0.43023635769524016,5580,7551,1630,3601,0.5394115742677802,0.5394115742677802,0.0,0.854483096521313,0.4449648711943794,0.76,0.5612998522895125,0.6276716917922949,0.4811270122926719,190,1554,237,60,0.4221667817765039,0.001,23.137123537249863
7,1,7,0.7290600152488835,0.7751177394034537,0.6453545365428602,0.7043090638930164,0.4581200304977671,0.4581200304977671,5925,7462,1719,3256,0.5226223208541744,0.5226223208541744,0.0,0.8495835374816266,0.41543026706231456,0.56,0.4770017035775128,0.4500055834729202,0.39140726149925165,140,1594,197,110,0.35925765685273525,0.001,23.10944419633597
8,1,8,0.7397886940420434,0.7838081732628593,0.6622372290600153,0.7179123863502185,0.4795773880840867,0.4795773880840867,6080,7504,1677,3101,0.5077017100856346,0.5077017100856346,0.0,0.8388045075943165,0.40481927710843374,0.672,0.505263157894737,0.5340882188721385,0.41597717794505834,168,1544,247,82,0.39899119555161666,0.001,23.141455091536045
9,1,9,0.7494281668663544,0.7896534277763724,0.6799912863522493,0.7307309650611575,0.4988563337327089,0.4988563337327089,6243,7518,1663,2938,0.4932523534041113,0.4932523534041113,0.0,0.8682018618324351,0.44025157232704404,0.28,0.3422982885085575,0.23030709101060862,0.27306827103985465,70,1702,89,180,0.28608376590835294,0.001,23.088629002682865
10,1,10,0.755745561485677,0.7946787148594378,0.6896852194750027,0.7384687153769899,0.5114911229713539,0.5114911229713539,6332,7545,1636,2849,0.48113224647518027,0.48113224647518027,0.0,0.8427241548260657,0.4022038567493113,0.584,0.47634584013050574,0.46283863763260746,0.38748991476515776,146,1574,217,104,0.3588954853491711,0.001,23.122886952012777
11,1,11,0.7666920814726065,0.8045019276209426,0.70460734124823,0.7512484032052026,0.533384162945213,0.533384162945213,6469,7609,1572,2712,0.4676711794409717,0.4676711794409717,0.0,0.850563449289564,0.4014336917562724,0.448,0.4234404536862004,0.3547560022333892,0.3378937639134259,112,1624,167,138,0.2995838216491799,0.001,23.116206511855125
12,1,12,0.7697418581853829,0.8060051896700853,0.7104890534800131,0.7552390876461734,0.5394837163707658,0.5394837163707658,6523,7611,1570,2658,0.4608392036080607,0.4608392036080607,0.0,0.8466438020578148,0.41076487252124644,0.58,0.48092868988391374,0.46386376326074813,0.394024793615772,145,1583,208,105,0.3344419819943056,0.001,23.191562589257956
13,1,13,0.7773662999673239,0.8098308796690595,0.724975492865701,0.7650574712643677,0.5547325999346477,0.5547325999346476,6656,7618,1563,2525,0.4515912191382993,0.4515912191382993,0.0,0.8481136697697207,0.4152542372881356,0.588,0.48675496688741726,0.4724221105527638,0.40070887054303805,147,1584,207,103,0.37016594519456303,0.001,23.123163727112114
14,1,14,0.7819409650364884,0.8142527619278863,0.7305304433068294,0.7701228614077391,0.5638819300729768,0.5638819300729768,6707,7651,1530,2474,0.4443282235189404,0.4443282235189404,0.0,0.8593826555609995,0.42745098039215684,0.436,0.4316831683168316,0.3544812953657175,0.3514573103558993,109,1645,146,141,0.3046306869757053,0.001,23.182253611274064
15,1,15,0.786134408016556,0.8168113844669561,0.7377192027012308,0.7752532478681394,0.5722688160331119,0.5722688160331119,6773,7662,1519,2408,0.43928783242900626,0.43928783242900626,0.0,0.8549730524252818,0.423841059602649,0.512,0.46376811594202905,0.41484757118927973,0.3807747183364219,128,1617,174,122,0.3175279471232925,0.001,23.05691597610712
16,1,16,0.7904912318919508,0.8188665710186513,0.745997168064481,0.7807352522086064,0.5809824637839016,0.5809824637839015,6849,7666,1515,2332,0.4328997649537259,0.4328997649537259,0.0,0.8500734933855953,0.42178770949720673,0.604,0.4967105263157895,0.4884221105527638,0.4118753813817886,151,1584,207,99,0.3932300672876899,0.001,23.160030502825975
17,1,17,0.7965363250190611,0.826713068522741,0.7503539919398758,0.7866849377640746,0.5930726500381223,0.5930726500381223,6889,7737,1444,2292,0.4213431761774047,0.4213431761774047,0.0,0.8672219500244978,0.441340782122905,0.316,0.3682983682983683,0.26016527079843665,0.2963761100842271,79,1691,100,171,0.3075439963692371,0.001,23.14059429988265
